CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Roosevelt,<a href='https://drive.google.com/file/d/11nmbUYJobliblZWg6mtgga63H5hbSnq6/view?usp=drivesdk' target='_blank'>Roosevelt </a>,County,Roosevelt,NM,2008,0,1,6353.96,"US Census Bureau, 2018 Cartographic Boundary Files"
Royal Equestrian Estates,<a href='https://drive.google.com/file/d/1cFaEM_EYQb-MkZS4yzpT1hZJ-Hpfp_Hk/view?usp=drivesdk' target='_blank'>Royal Equestrian Estates </a>,Community,El Dorado,CA,2008,0,1,1.64,CWPP
Rural 94,<a href='https://drive.google.com/file/d/1AHmSM66uZd6WybwsJVlKxSxMjTflkuKT/view?usp=drivesdk' target='_blank'>Rural 94 </a>,Community,San Diego,CA,2008,0,0,685.72,CWPP
San Miguel,<a href='https://drive.google.com/file/d/12jwSkwFZiaUQ8P_HBo3hwnMyVJD0DIcA/view?usp=drivesdk' target='_blank'>San Miguel </a>,County,San Miguel,NM,2008,0,1,3337.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Sandoval,<a href='https://drive.google.com/file/d/1DWQGZvAKBjznbEu-HdkbtZnBYUR-vS-N/view?usp=drivesdk' target='_blank'>Sandoval </a>,County,Sandoval,NM,2008,0,1,9620.01,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Fe,<a href='https://drive.google.com/file/d/1uS0UcpeKNIEzHS90bv9c687qzcDgs3mp/view?usp=drivesdk' target='_blank'>Santa Fe </a>,County,Santa Fe,NM,2008,0,1,4950.52,"US Census Bureau, 2018 Cartographic Boundary Files"
Sequoia Crest,<a href='https://drive.google.com/file/d/1pg5p_7cbn_Ei-Kla4SB9cJkDv7UuvKnB/view?usp=drivesdk' target='_blank'>Sequoia Crest </a>,Community,Tulare,CA,2008,0,1,2.7,CWPP
Shasta - Trinity,<a href='https://drive.google.com/file/d/1kU-N25y0pPdhi3lv6hfqnDSwwJBroktD/view?usp=drivesdk' target='_blank'>Shasta - Trinity </a>,Fire Protection District,"Shasta, Trinity",CA,2008,0,0,16220.59,CWPP
Siskiyou,<a href='https://drive.google.com/file/d/1D4G_j1zoL0R5YAer-eunCWSSSNEZU40a/view?usp=drivesdk' target='_blank'>Siskiyou </a>,County,Siskiyou,CA,2008,0,0,16441.09,"US Census Bureau, 2018 Cartographic Boundary Files"
Sonoma,<a href='https://drive.google.com/file/d/1b4YV-tbW-DKC6Ps7SLjteBmQZNN1g828/view?usp=drivesdk' target='_blank'>Sonoma </a>,County,Sonoma,CA,2008,0,0,4578.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Spirit Mountain Ranch,<a href='https://drive.google.com/file/d/1Jcr2m9RUd9XY0OgUHd7YrvrskgnONzHz/view?usp=drivesdk' target='_blank'>Spirit Mountain Ranch </a>,Community,Las Animas,CO,2008,0,1,6.12,Colorado Forest Atlas
Stehekin Valley,<a href='https://drive.google.com/file/d/1coUQpBVjG3-9mUJQHNQCGnovOkxTBGrF/view?usp=drivesdk' target='_blank'>Stehekin Valley </a>,Community,Chelan,WA,2008,0,0,211.36,CWPP
Stevens,<a href='https://drive.google.com/file/d/1v0NQr1REeClfTf9ECq3aIR3iC7aUZjv4/view?usp=drivesdk' target='_blank'>Stevens </a>,County,Stevens,WA,2008,0,1,6572.53,"US Census Bureau, 2018 Cartographic Boundary Files"
Sugar Loaf,<a href='https://drive.google.com/file/d/1p0u1FSaDCz42hS7_oMQthVwxsDz-be_B/view?usp=drivesdk' target='_blank'>Sugar Loaf </a>,Fire Protection District,Boulder,CO,2008,0,1,45.97,Colorado Forest Atlas
Sweet Grass,<a href='https://drive.google.com/file/d/188pWhoYYozvMmjfw1pqfyVpCtvMtxSj2/view?usp=drivesdk' target='_blank'>Sweet Grass </a>,County,Sweet Grass,MT,2008,0,0,4823.44,"US Census Bureau, 2018 Cartographic Boundary Files"
Swift Reservior,<a href='https://drive.google.com/file/d/1hPx1kICg7Tc7VnNldguuFKtD95C7strl/view?usp=drivesdk' target='_blank'>Swift Reservior </a>,Community,Skamania,WA,2008,0,0,1163.67,CWPP
Tehama East,<a href='https://drive.google.com/file/d/1I5jj7riZvvXa6WHZL2ObFP3iIJIFv3Mg/view?usp=drivesdk' target='_blank'>Tehama East </a>,Community,Tehama,CA,2008,0,0,3550.57,USGS Quadrangle Maps
Thompson Springs,<a href='https://drive.google.com/file/d/185XuWi1eipa9f6Ppkoz52rfpqIMwEn8V/view?usp=drivesdk' target='_blank'>Thompson Springs</a>,Community,Grand,UT,2008,0,0,102.52,CWPP
Torrance,<a href='https://drive.google.com/file/d/1sj9lp9F1coCWzSEVTSQtZVxCIBtqqsFN/view?usp=drivesdk' target='_blank'>Torrance </a>,County,Torrance,NM,2008,0,1,8666.4,"US Census Bureau, 2018 Cartographic Boundary Files"
Underwood,<a href='https://drive.google.com/file/d/1-DMpG3XEO2YBZtbyFFmeJnoGEMnKGe7Y/view?usp=drivesdk' target='_blank'>Underwood </a>,Community,Skamania,WA,2008,0,0,77.38,CWPP
Union,<a href='https://drive.google.com/file/d/1nf4Lh9r__61CDOB_IQFAXqOxqF6OP5E2/view?usp=drivesdk' target='_blank'>Union </a>,County,Union,NM,2008,0,1,5279.88,"US Census Bureau, 2018 Cartographic Boundary Files"
Upper Chama,<a href='https://drive.google.com/file/d/1Dd3ZY4f-hTlPP9vHarJ4EaK6hyFO2KiV/view?usp=drivesdk' target='_blank'>Upper Chama </a>,Community,Rio Arriba,NM,2008,0,1,2363.49,CWPP
Upper San Pedro,<a href='https://drive.google.com/file/d/1V1QSLBD33l5lt0f4yLXXqVd2gCxV31Yu/view?usp=drivesdk' target='_blank'>Upper San Pedro</a>,Community,Cochise,AZ,2008,0,1,452.32,CWPP
Upper Willamette,<a href='https://drive.google.com/file/d/1fm6IRgD0Q1Mq2QdO2giupBm7FoQ83Ots/view?usp=drivesdk' target='_blank'>Upper Willamette </a>,Community,Lane,OR,2008,0,0,157.95,CWPP
Valley,<a href='https://drive.google.com/file/d/1b9FOHzdlX4KDC576iGW3__76i5V43MLR/view?usp=drivesdk' target='_blank'>Valley</a>,County,Valley,ID,2008,1,0,9669.02,"US Census Bureau, 2018 Cartographic Boundary Files"
Valley,<a href='https://drive.google.com/file/d/1VO0vuLJGNKw804Lw1bgNDdx4R3ko5AI9/view?usp=drivesdk' target='_blank'>Valley </a>,County,Valley,MT,2008,0,0,9669.02,"US Census Bureau, 2018 Cartographic Boundary Files"
Village of Questa,<a href='https://drive.google.com/file/d/1Gd47fwNS4IQdRN4P1SsqU9dXlzgahPL_/view?usp=drivesdk' target='_blank'>Village of Questa </a>,Community,Taos,NM,2008,0,1,7.34,CWPP
West End,<a href='https://drive.google.com/file/d/1W9KNPsBg5AEzTrjdJ7VAjGX5CxCb6Ele/view?usp=drivesdk' target='_blank'>West End </a>,Community,Skamania,WA,2008,0,0,281.39,CWPP
West Slope of the Sierra Nevada,<a href='https://drive.google.com/file/d/1MdMDk-J73oK3fNfBm4tBYqohI7vNC2gM/view?usp=drivesdk' target='_blank'>West Slope of the Sierra Nevada </a>,Community,Placer,CA,2008,0,1,980.43,CWPP
Western Saguache,<a href='https://drive.google.com/file/d/1Ud0IFRzjGk14OTnFj3qy0Mgcr-3TSpoK/view?usp=drivesdk' target='_blank'>Western Saguache </a>,Fire Protection District,Saguache,CO,2008,0,1,2002.75,Colorado Forest Atlas
Weston,<a href='https://drive.google.com/file/d/1QMRNCyqOMKniOzfuYa9mOEOiisweGcqU/view?usp=drivesdk' target='_blank'>Weston  </a>,County,Weston,WY,2008,1,0,6215.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Wheatland,<a href='https://drive.google.com/file/d/1BnL3noOkJGB5NLHYBpPUx6996QB-h3Qf/view?usp=drivesdk' target='_blank'>Wheatland </a>,County,Wheatland,MT,2008,0,1,3697.26,"US Census Bureau, 2018 Cartographic Boundary Files"
Apache Creek,<a href='https://drive.google.com/file/d/1W9-EbMAOHlTn2fMz8ltjTkWVkOYHzWVr/view?usp=drivesdk' target='_blank'>Apache Creek </a>,Community,Catron,NM,2007,0,0,198.02,CWPP
Arivaca Sasabe,<a href='https://drive.google.com/file/d/1-lnPbFeFZY8HjRmDD7vi0QKbNba9nWSG/view?usp=drivesdk' target='_blank'>Arivaca Sasabe</a>,Community,Pima,AZ,2007,0,1,228.13,CWPP
Arrowhead Subdivision,<a href='https://drive.google.com/file/d/1Az9EmEQbsczJdHD02WZ2pGqwgNQhji1G/view?usp=drivesdk' target='_blank'>Arrowhead Subdivision </a>,Community,Gunnison,CO,2007,0,0,9.23,Colorado Forest Atlas
Aspen Cove,<a href='https://drive.google.com/file/d/1LwiB1E-zU4Uu_iN_7SpuYmgnonZMN6Pj/view?usp=drivesdk' target='_blank'>Aspen Cove</a>,Community,Carbon,UT,2007,0,0,12.55,CWPP
Bannock,<a href='https://drive.google.com/file/d/1498LiJ-yAXeRkGqdjVIyk3iQSgjIinRF/view?usp=drivesdk' target='_blank'>Bannock </a>,County,Bannock,ID,2007,1,0,2973.46,"US Census Bureau, 2018 Cartographic Boundary Files"
Beaver Creek,<a href='https://drive.google.com/file/d/1PxLdJHFlyzKPCBzJhNuRkdbLhCctk-j5/view?usp=drivesdk' target='_blank'>Beaver Creek </a>,Community,Eagle,CO,2007,0,1,5.13,Colorado Forest Atlas
Berthoud,<a href='https://drive.google.com/file/d/18T2tbvR0oQ_HkHK5Sps5d7FZnpxLmVIA/view?usp=drivesdk' target='_blank'>Berthoud </a>,Fire Protection District,Larimer,CO,2007,0,1,255.61,Colorado Forest Atlas
Big Elk Meadows,<a href='https://drive.google.com/file/d/1FJrUQDiW-hfctrFnleL24u0GVb_sKvg4/view?usp=drivesdk' target='_blank'>Big Elk Meadows</a>,Community,Larimer,CO,2007,0,0,35.1,Colorado Forest Atlas
Bingham,<a href='https://drive.google.com/file/d/15kYEnD1JGtBCnbwJjMtlv9OJgei_Bg6v/view?usp=drivesdk' target='_blank'>Bingham </a>,County,Bingham,ID,2007,1,0,5491.29,"US Census Bureau, 2018 Cartographic Boundary Files"
Bisbee,<a href='https://drive.google.com/file/d/1bg6tLXBX2WDHrDtV-IAca0fIAAzBmrOf/view?usp=drivesdk' target='_blank'>Bisbee</a>,Community,Cochise,AZ,2007,0,1,209.86,CWPP
Blue Mesa Subdivision,<a href='https://drive.google.com/file/d/1bNpjMmnIWA7hhzocSszlZBG95GlD6oy3/view?usp=drivesdk' target='_blank'>Blue Mesa Subdivision </a>,Community,Gunnison,CO,2007,0,0,20.55,Colorado Forest Atlas
Bonner,<a href='https://drive.google.com/file/d/1CDIA9PXUJXDVnkkG1PxdH69OREHadQmI/view?usp=drivesdk' target='_blank'>Bonner</a>,County,Bonner,ID,2007,1,1,4967.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Bonneville,<a href='https://drive.google.com/file/d/1CSr5OpkFooYzA3vvyWocn0g63TqAKjbc/view?usp=drivesdk' target='_blank'>Bonneville </a>,County,Bonneville,ID,2007,1,0,4921.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Boulder Rural,<a href='https://drive.google.com/file/d/150hVFG5JwARFt2vPNtQ2MCKFYZ7i9KLu/view?usp=drivesdk' target='_blank'>Boulder Rural </a>,Fire Protection District,Boulder,CO,2007,0,1,65.06,Colorado Forest Atlas
Campbell,<a href='https://drive.google.com/file/d/1gvp2cqG_fzLzUtVDaN1j5Rs60Du4hwyM/view?usp=drivesdk' target='_blank'>Campbell </a>,County,Campbell,WY,2007,0,0,12420.16,"US Census Bureau, 2018 Cartographic Boundary Files"
Catalina,<a href='https://drive.google.com/file/d/1T5DbDldWSwrZWaeUQKRJJkc7wYy8hNRa/view?usp=drivesdk' target='_blank'>Catalina</a>,Community,Pima,AZ,2007,0,1,75.16,CWPP
Central,<a href='https://drive.google.com/file/d/1Th_3vmCOxOssbqotdX35NZJsHvUb1Z7k/view?usp=drivesdk' target='_blank'>Central</a>,County,"Juab, Millard, Piute, Sanpete, Sevier, Wayne",UT,2007,0,1,45237.01,CWPP
Cherokee Meadows,<a href='https://drive.google.com/file/d/1ZrPJorpT246ce4fOL9jMcNDQ6rcyQf_B/view?usp=drivesdk' target='_blank'>Cherokee Meadows </a>,Community,Larimer,CO,2007,0,0,939.72,Colorado Forest Atlas
Chouteau,<a href='https://drive.google.com/file/d/1yWQnwG580DOGTvIrFYGHWn5T7ashpSyQ/view?usp=drivesdk' target='_blank'>Chouteau </a>,County,Chouteau,MT,2007,0,1,10351.51,"US Census Bureau, 2018 Cartographic Boundary Files"
Churchill,<a href='https://drive.google.com/file/d/1tmzS4UK2zz-9V0dwKaqKTWcWNGHqGu4D/view?usp=drivesdk' target='_blank'>Churchill </a>,County,Churchill,NV,2007,1,1,13009.94,"US Census Bureau, 2018 Cartographic Boundary Files"
City of Boulder,<a href='https://drive.google.com/file/d/1kNbA6qDJy5kIKu0EtXu21IdYcQGvnKqh/view?usp=drivesdk' target='_blank'>City of Boulder </a>,Community,Boulder,CO,2007,0,1,67.17,Colorado Forest Atlas
City of Golden,<a href='https://drive.google.com/file/d/16rYLyut4pjuctSrMU6STzIHphf4uExNJ/view?usp=drivesdk' target='_blank'>City of Golden </a>,Community,Jefferson,CO,2007,0,1,19.13,Colorado Forest Atlas
Clearwater,<a href='https://drive.google.com/file/d/1KZOSOBVbKYnyLilhonBVmhyCibPsjCMj/view?usp=drivesdk' target='_blank'>Clearwater </a>,County,Clearwater,ID,2007,1,1,6447.3,"US Census Bureau, 2018 Cartographic Boundary Files"
Colorado Mountain Estates,<a href='https://drive.google.com/file/d/1yM94ki2FzihFGKFn490lO3oW8Gep7f3y/view?usp=drivesdk' target='_blank'>Colorado Mountain Estates </a>,Community,Teller,CO,2007,0,0,8.95,Colorado Forest Atlas
Custer,<a href='https://drive.google.com/file/d/17TqSTkPbFZNqqREGDBztULftQUGi10Ak/view?usp=drivesdk' target='_blank'>Custer </a>,County,Custer,CO,2007,0,0,12790.6,Colorado Forest Atlas
Davenport,<a href='https://drive.google.com/file/d/1v0u35YNA1SjUMVUEwbe8YfUAT5-iYf-u/view?usp=drivesdk' target='_blank'>Davenport </a>,Community,Catron,NM,2007,0,0,65.32,CWPP
Dolores,<a href='https://drive.google.com/file/d/1v6CoNcmWDiF5tUvcsLaU5rKqJLo2_xre/view?usp=drivesdk' target='_blank'>Dolores </a>,County,Dolores,CO,2007,0,0,2766.29,Colorado Forest Atlas
East Carbon - Columbia,<a href='https://drive.google.com/file/d/1LA7-yJzp_iUGAJkaN3jJu3OMEshb1MT-/view?usp=drivesdk' target='_blank'>East Carbon - Columbia</a>,Community,Carbon,UT,2007,0,0,29.2,"US Census Bureau, 2016 TIGER Place"
Evergreen,<a href='https://drive.google.com/file/d/1Ulu_FpyVM8L9mWNE8qplNLlpMv8pnUdQ/view?usp=drivesdk' target='_blank'>Evergreen </a>,Fire Protection District,Jefferson,CO,2007,0,1,299.52,Colorado Forest Atlas
Evergreen,<a href='https://drive.google.com/file/d/1-x6AijOpnhywzAvkI3XtMIXjWkSgWSkL/view?usp=drivesdk' target='_blank'>Evergreen </a>,Fire Protection District,Jefferson,CO,2020,1,1,299.52,Colorado Forest Atlas
Fairmount,<a href='https://drive.google.com/file/d/1TwW5ZvcTkROXgn-HxZ1DAcJ8OLAkClcL/view?usp=drivesdk' target='_blank'>Fairmount </a>,Fire Protection District,Jefferson,CO,2007,0,1,40.22,Colorado Forest Atlas
Fish Creek Sanctuary,<a href='https://drive.google.com/file/d/1Ibqsu7nWJhyPk_3Jxru_GlCzZtJFgHKS/view?usp=drivesdk' target='_blank'>Fish Creek Sanctuary </a>,Community,Routt,CO,2007,0,1,15.21,Colorado Forest Atlas
Forbes Wagon Creek Ranches,<a href='https://drive.google.com/file/d/1_5-zYbKquO_rlmPE_TFpcgVAM7pCAykX/view?usp=drivesdk' target='_blank'>Forbes Wagon Creek Ranches </a>,Community,Costilla,CO,2007,0,0,73.59,Colorado Forest Atlas
Foresta,<a href='https://drive.google.com/file/d/1p1tY1gHrreYGWkvXaYfIJRG-wQhE0IRO/view?usp=drivesdk' target='_blank'>Foresta </a>,Community,Mariposa,CA,2007,0,1,22.58,CWPP
Four Neighborhood,<a href='https://drive.google.com/file/d/1BBalFoLjebDK2kYUMqNyFOo_rSQrKskd/view?usp=drivesdk' target='_blank'>Four Neighborhood </a>,Fire Protection District,Ouray,CO,2007,0,0,4.86,Colorado Forest Atlas
Garfield,<a href='https://drive.google.com/file/d/1KIvV4C-36yCXoRXNYFIFO-nrtOh4JGq6/view?usp=drivesdk' target='_blank'>Garfield </a>,County,Garfield,MT,2007,0,1,1860.43,"US Census Bureau, 2018 Cartographic Boundary Files"
Gilliam,<a href='https://drive.google.com/file/d/1z6s-j8iW3pdrGcX8ATr8ZF4e6hbH0Ygw/view?usp=drivesdk' target='_blank'>Gilliam </a>,County,Gilliam,OR,2007,0,1,3167.11,CWPP
Glacier,<a href='https://drive.google.com/file/d/1kOBoknLdRT4Mowi80HEBgwinKiTfaas3/view?usp=drivesdk' target='_blank'>Glacier </a>,County,Glacier,MT,2007,0,0,7862.75,"US Census Bureau, 2018 Cartographic Boundary Files"
Glen Haven Retreat,<a href='https://drive.google.com/file/d/1ihdDFbv4d9Hb5-TDi5ABjhCtWdfKQE7S/view?usp=drivesdk' target='_blank'>Glen Haven Retreat </a>,Community,Larimer,CO,2007,0,0,50.68,Colorado Forest Atlas
Glenwood,<a href='https://drive.google.com/file/d/1yP5SJpGrW7zKAMYmsae7hwUH_UmIVkdK/view?usp=drivesdk' target='_blank'>Glenwood </a>,Community,Klickitat,WA,2007,0,0,463.94,CWPP
Glenwood Springs,<a href='https://drive.google.com/file/d/1zKn9wyJk5mCQs0HBpAS-pgsQ6Rs_JaWK/view?usp=drivesdk' target='_blank'>Glenwood Springs </a>,Fire Protection District,Garfield,CO,2007,0,1,188.31,Colorado Forest Atlas
Greater Wind River,<a href='https://drive.google.com/file/d/1whHTnJyT9Z7tunPM9oS0h87pWRemzq6d/view?usp=drivesdk' target='_blank'>Greater Wind River </a>,Community,Skamania,WA,2007,0,0,719.33,CWPP
Green River,<a href='https://drive.google.com/file/d/1N93sR1-9D4nTKQBNzu9pAWZn9r75OrrL/view?usp=drivesdk' target='_blank'>Green River</a>,Community,Emery,UT,2007,0,0,70.61,"US Census Bureau, 2016 TIGER Place"
Happy Camp,<a href='https://drive.google.com/file/d/1YV0DAZ5uTu012xWaF1JjQ7u6IiGpZLFo/view?usp=drivesdk' target='_blank'>Happy Camp </a>,Community,Siskiyou,CA,2007,0,0,261.39,CWPP
Idaho,<a href='https://drive.google.com/file/d/1ntYewW_hErCk11k60Jnp5Ax5wPy0rXQm/view?usp=drivesdk' target='_blank'>Idaho </a>,County,Idaho,ID,2007,1,1,22021.83,"US Census Bureau, 2018 Cartographic Boundary Files"
Indian Hills,<a href='https://drive.google.com/file/d/1bOOF2cL7auShKJZd0BXlNF1K9Ci5X4Qt/view?usp=drivesdk' target='_blank'>Indian Hills </a>,Fire Protection District,Jefferson,CO,2007,0,1,29.59,Colorado Forest Atlas
Inter Canyon,<a href='https://drive.google.com/file/d/1CcNzcqYvfkxPlpJ5pPFFUSYKUw8O23Ui/view?usp=drivesdk' target='_blank'>Inter Canyon </a>,Fire Protection District,Jefferson,CO,2007,0,1,114.9,Colorado Forest Atlas
Kenilworth,<a href='https://drive.google.com/file/d/1DOE6k8WGo96xvVdwmEd2qGmbqD6_LYs2/view?usp=drivesdk' target='_blank'>Kenilworth</a>,Community,Carbon,UT,2007,0,0,5.07,CWPP
Kennedy Meadows,<a href='https://drive.google.com/file/d/1GIO7bHfOuO-BIzccCx0gWER7J56NtnB6/view?usp=drivesdk' target='_blank'>Kennedy Meadows </a>,Community,Tulare,CA,2007,0,1,234.29,CWPP
Kiowa,<a href='https://drive.google.com/file/d/1V3D-8yW9nDikqgHjdXqgbXB8AFbYkLdu/view?usp=drivesdk' target='_blank'>Kiowa </a>,County,Kiowa,CO,2007,0,0,4626.07,Colorado Forest Atlas
Laguna Beach,<a href='https://drive.google.com/file/d/1dd1w-yiD3rbxMuYkV4pWz9pZPXyoTnUh/view?usp=drivesdk' target='_blank'>Laguna Beach </a>,Community,Orange,CA,2007,0,0,75.66,CWPP
Lake Wenatchee/Plain Area,<a href='https://drive.google.com/file/d/1bsXhXJE-VfaRa12sjSHp_byNXtCgEsOq/view?usp=drivesdk' target='_blank'>Lake Wenatchee/Plain Area </a>,Community,Chelan,WA,2007,0,0,629.38,CWPP
Latah,<a href='https://drive.google.com/file/d/1LIB5-gAGUUL94igY-xE_zXy_pm3szt8E/view?usp=drivesdk' target='_blank'>Latah</a>,County,Latah,ID,2007,1,1,2789.05,"US Census Bureau, 2018 Cartographic Boundary Files"
Lemhi,<a href='https://drive.google.com/file/d/1OvxZV9MnZ-aLq2VeYK6PjXchdihDHthx/view?usp=drivesdk' target='_blank'>Lemhi </a>,County,Lemhi,ID,2007,1,0,11834.37,"US Census Bureau, 2018 Cartographic Boundary Files"
Lewis,<a href='https://drive.google.com/file/d/1D28EjApyP3lH4QKGvOXD9cXL-ZaWzved/view?usp=drivesdk' target='_blank'>Lewis</a>,County,Lewis,ID,2007,1,1,1242.64,"US Census Bureau, 2018 Cartographic Boundary Files"
Liberty,<a href='https://drive.google.com/file/d/1p-PEQCkfUGX_DZdCth-0ypLlpJuosURQ/view?usp=drivesdk' target='_blank'>Liberty </a>,County,Liberty,MT,2007,0,1,3747.95,"US Census Bureau, 2018 Cartographic Boundary Files"
Linn,<a href='https://drive.google.com/file/d/15gks55QKMSFNoissliflO7WYWDRvkRoQ/view?usp=drivesdk' target='_blank'>Linn </a>,County,Linn,OR,2007,0,1,5979.56,Oregon Spatial Data Library
Logtown,<a href='https://drive.google.com/file/d/1nW_3HPiXKJlJoJRoLAovAqZjSQUyoL1c/view?usp=drivesdk' target='_blank'>Logtown </a>,Community,El Dorado,CA,2007,0,0,53.42,CWPP
Lower North Fork,<a href='https://drive.google.com/file/d/1gVFiRp2DiQGruO-lsiouDNCEvk2Ffo7T/view?usp=drivesdk' target='_blank'>Lower North Fork </a>,Fire Protection District,Jefferson,CO,2007,0,1,111.19,Colorado Forest Atlas
Luna,<a href='https://drive.google.com/file/d/1lGlIRC_KruJLtYx7fzflOw5rAoDfj4DS/view?usp=drivesdk' target='_blank'>Luna </a>,Community,Catron,NM,2007,0,0,7680.38,CWPP
Majestic Park,<a href='https://drive.google.com/file/d/1TYxp01YiNb0IukProgxtANmPPH4wW4A6/view?usp=drivesdk' target='_blank'>Majestic Park </a>,Community,Teller,CO,2007,0,0,2.34,Colorado Forest Atlas
Mary's River Estates,<a href='https://drive.google.com/file/d/1QPTbOASGGBmA2Er9li15JnczNv7LgJc0/view?usp=drivesdk' target='_blank'>Mary's River Estates </a>,Community,Benton,OR,2007,0,0,2.1,Oregon Spatial Data Library
Middle Rio Grande Bosque,<a href='https://drive.google.com/file/d/1xqFMNHnV9xmurCeslCB1TOlbR27eXUOD/view?usp=drivesdk' target='_blank'>Middle Rio Grande Bosque </a>,Community,"Bernalillo, Sandoval, Socorro, Valencia",NM,2007,0,1,8863.37,CWPP
Musselshell,<a href='https://drive.google.com/file/d/1j5KK9JqVPbIZBIeQhB3wDsPOwqv2Xbov/view?usp=drivesdk' target='_blank'>Musselshell </a>,County,Musselshell,MT,2007,0,1,4847.67,"US Census Bureau, 2018 Cartographic Boundary Files"
Nez Perce,<a href='https://drive.google.com/file/d/17782Vskm_CK7c_Y_slTbs1V1fYfRfnCU/view?usp=drivesdk' target='_blank'>Nez Perce</a>,County,Nez Perce,ID,2007,1,1,2217.55,"US Census Bureau, 2018 Cartographic Boundary Files"
North End,<a href='https://drive.google.com/file/d/1coNUcjdS4yBj5QagKr2_Rd1ZcRb4AcIz/view?usp=drivesdk' target='_blank'>North End </a>,Community,Jackson,CO,2007,0,0,1246.72,Colorado Forest Atlas
North Routt,<a href='https://drive.google.com/file/d/1nim935YtCumiXxMcC0P0Zt47UA8BIl3T/view?usp=drivesdk' target='_blank'>North Routt </a>,Fire Protection District,Routt,CO,2007,0,0,790.05,Colorado Forest Atlas
Northern,<a href='https://drive.google.com/file/d/1pqCBtcUH7Mw86gAH9BqM0E3JjhVfWOTE/view?usp=drivesdk' target='_blank'>Northern</a>,County,"Box, Elder, Cache, Davis, Morgan, Rich, Salt Lake Summit Tooele Utah Wasatch Weber",UT,2007,0,1,62695.85,CWPP
Northern Saguache,<a href='https://drive.google.com/file/d/1HCqMbnKJm8gyUdToaf3vw7NAdzwsJ2xI/view?usp=drivesdk' target='_blank'>Northern Saguache </a>,Fire Protection District,Saguache,CO,2007,0,1,4245.35,Colorado Forest Atlas
Park,<a href='https://drive.google.com/file/d/1pFIu7bfLTg1E-pQFFJt-Sl18iCIet1GR/view?usp=drivesdk' target='_blank'>Park </a>,County,Park,CO,2007,0,0,5726.05,Colorado Forest Atlas
Platte,<a href='https://drive.google.com/file/d/1oobuf-gJYLfqFgt_ph439hfkparryTse/view?usp=drivesdk' target='_blank'>Platte </a>,County,Platte,WY,2007,0,1,5466.59,"US Census Bureau, 2018 Cartographic Boundary Files"
Pondera,<a href='https://drive.google.com/file/d/1mHBRtcRAupV7N9gJAQNYrnhPEs2o5kC-/view?usp=drivesdk' target='_blank'>Pondera </a>,County,Pondera,MT,2007,0,1,4249.8,"US Census Bureau, 2018 Cartographic Boundary Files"
Poudre Canyon Manhattan Creek,<a href='https://drive.google.com/file/d/1GKJuYjkrU9VN4JBZcRWqnwt3FB6BE1w1/view?usp=drivesdk' target='_blank'>Poudre Canyon Manhattan Creek </a>,Fire Protection District,Larimer,CO,2007,0,0,73.87,Colorado Forest Atlas
Poudre Canyon Rustic,<a href='https://drive.google.com/file/d/14BXrQNgQhvtohU14gLwDIhxsWdoYHNIM/view?usp=drivesdk' target='_blank'>Poudre Canyon Rustic </a>,Fire Protection District,Larimer,CO,2007,0,0,123.9,Colorado Forest Atlas
